Nß lote;T°tulo;Autor;Editorial;A§o;P£blico;Idioma;P†ginas;Resumen_navarra;genero_fix;IA_Tags;Geografia_Autor;Genero_Principal_IA;Subgeneros_Limpios_IA
427N;La £ltima causa perdida;Lehane, Dennis;RBA Libros;2011;Adulto;Castellano;319;"""Desde que nos reconciliamos, no hab°amos vuelto a pronunciar los nombres de Amanda o Helene hasta hac°a tres d°as. Entonces, cada vez que alguno mencionaba uno de esos nombres, era como si le quitara la argolla de seguridad a una granada."" Han pasado doce a§os desde que la ni§a Amanda McCready fuera raptada y devuelta a su madre en Desapareci¢ una noche. Ahora es una joven de diecisÇis a§os, inteligente, madura y buena estudiante, aunque reservada. Y vuelve a desaparecer.";masculino;novela negra, desaparici¢n, investigaci¢n policial, Boston, secuela;AmÇrica, Estados Unidos - Boston;Narrativa;Novela Negra/Misterio
391N;Vestido de novia;Lemaitre, Pierre;Alfaguara;2014;Adulto;Castellano;291;Sophie Duguet no entiende quÇ le sucede: pierde objetos, olvida situaciones, es detenida en un supermercado por peque§os robos que no recuerda haber cometido. Y los cad†veres comienzan a acumularse a su alrededor. Y ya no podemos desvelar nada m†s de este thriller para as° mantener intacto el escalofriante placer de la lectura y la adictiva b£squeda de la verdad por parte del lector.;masculino;thriller psicol¢gico, amnesia, novela negra, crimen, suspense;Europa, Francia;Narrativa;Novela Negra/Misterio, Psicol¢gico/÷ntimo
113C;Noche de tormenta;Lemieux, Michäle;L¢guez;2000;Infantil - 12 a§os;Castellano;;"Noche de tormenta es una peque§a obra maestra en la que la canadiense Michäle Lemieux logr¢ algo que mucho se proponen y muy contados consiguen: conjugar la mayor simplicidad en los recursos formales y la mayor profundidad en los contenidos. En pocas palabras: lo m†s con lo menos. En su cama, sin otra compa§°a que su mascota, un expresivo perro, una ni§a peque§a no consigue dormir. Reflexiona y se hace todas esas preguntas sin respuesta que han desvelado a la humanidad desde tiempos sin cuenta: ""®QuiÇn soy yo? ®Realmente, toda mi vida est† ya determinada desde el principio? ®Realmente, cuida alguien de m° ah° arriba? ®QuÇ es, en realidad, el destino? Y el azar, ®quiÇn lo determina? ®Morir duele? El fin del mundo, ®existe?"" Con unas cortas l°neas de texto y expresivos dibujos a l°nea, la autora ha creado un libro lleno de interrogantes y reflexiones, de miedos e incertidumbres, sin respuestas aleccionadoras, donde tienen cabida tambiÇn el humor, la esperanza y el optimismo.";femenino;literatura infantil, filosof°a, libro ilustrado, preguntas existenciales, introspecci¢n;AmÇrica, Canad†;Infantil;Gesti¢n Emocional/Valores, Filosof°a, µlbum Ilustrado
059C;Habr°a que...;Lenain, Thierry;Kokinos;2005;Infantil - 8 a§os;Castellano;23;Un duro pero esperanzador relato narrado a dos voces: palabras e im†genes se al°an para transmitir los grandes desastres que padece el planeta: hambre, guerra, contaminaci¢n... Desde su particular isla, un ni§o contempla el desolador paisaje, enumerando en cada situaci¢n las cosas que deber°an cambiar. El sorprendente final, que cierra y da sentido a todo el relato, aporta un soplo de ternura y esperanza: merece la pena intentarlo. Las ilustraciones, de un fuerte y contrastado cromatismo, se ajustan plenamente al texto, directo y sencillo. Un cuento que apela al sentido cr°tico del lector.;masculino;literatura infantil, cr°tica social, †lbum ilustrado, problemas globales, narrativa dual;Europa, Francia;Infantil;µlbum Ilustrado, Social/Pol°tico
307N;Segunda residencia;Leoz, Margarita;Tropo editores;2011;Adulto;Castellano;202;Hubo un tiempo en el que tener una casa en el pueblo o en la playa, un refugio lejos de esa realidad defectuosa en la que vivimos, se convert°a en un s°mbolo de lo que se esperaba ser alg£n d°a. Segunda residencia nos habla de gente corriente, de sus peque§os fracasos, de las hostilidades, muchas veces inadvertidas, que nos impiden ser felices. Podemos encontrar ni§os en la confusa frontera de la adolescencia, adultos que intentan cambiar su existencia sin conseguirlo, parejas vagando a la deriva, seres solitarios y perdidos, siempre con la sensaci¢n de encontrarse en el lugar inadecuado, de no ser los verdaderos protagonistas de sus vidas. Con un estilo conciso y visual, Margarita Leoz consigue texturas emocionales admirables que no dejar†n indiferente a ning£n lector.;femenino;cuento contempor†neo, insatisfacci¢n vital, relaciones personales, narrativa espa§ola, entorno cotidiano;Local;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
337N;El telar de PenÇlope;Leoz, Margarita;Calambur;2008;Adulto;Castellano;81;El telar de PenÇlope re£ne alrededor de cincuenta poemas en los que la voz poÇtica femenina va tejiendo y destejiendo las diversas facetas, a veces contradictorias, que adopta la espera del ser querido: desde el amor m†s incondicional al desencanto, de la esperanza ciega al recelo. El hilo conductor es el mito cl†sico de PenÇlope, pero recreado por Margarita Leoz desde su imaginaci¢n y sensibilidad poÇticas y analizando los sentimientos que cualquiera ha podido experimentar como la espera de algo que uno desea y que no llega.;femenino;poes°a contempor†nea, mito cl†sico, subjetividad femenina, espera, PenÇlope;Local;Poes°a;Cl†sicos
077N;Felicidad perfecta;Lertxundi, Anjel;Alberdania;2006;Adulto;Castellano;143;Esta obra narra la ruptura interna y la conmoci¢n que sufre una adolescente de 16 a§os tras haber sido testigo de un atentado. El protagonista nos cuenta esta historia a los 14 a§os del asesinato, en un deseo de confesi¢n de los hechos y para denunciar abiertamente la felicidad perfecta sin conciencia que da el t°tulo a la obra. Novela moral inscrita en la tradici¢n de Camus y Sciascia, nos enfrenta a unos hechos en donde la conciencia y la Çtica toman todo el protagonismo.;masculino;novela moral, conciencia Çtica, terrorismo, narrativa vasca, adolescencia;Local;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
068C;Zoaz infernura laztana;Lertxundi, Anjel;Alberdania;2008;Adulto;Euskera;179;Bikote harremanak aztertzen ditu Lertxundik eleberri honetan. Gehienetan, botere harreman bihurtzen dira harreman horiek, eta gaur egungo edozein egunkari hartzea nahikoa da ikusteko ez dela gutxitan gertatzen boteretsuenak bere boterea baliatzea ahulena umiliatzeko eta tratu txarren bidez otzantzeko.?Galdetzen dut: hitzekin ?nire hitzekin, alegia? jaso dezaket emakumearen izaeraren isla bat, ez dakit zehatza, baina zehaztasunera hurbilduko dena??. Honela aipatzen du eleberri honetako narratzaileak bere kezka, Rosaren barruan sartzeko gai izango den edo ez azaltzeko unean. Eta esan behar da maisutasun handiz lortzen duela eleberri honetako pertsonaia nagusiaren barne azpilduretan sartzea. Izan ere, generoko elementuak erabiltzeaz gainera ?nobela beltzaren elementuak, intrigarenak...?, gaur gaurko kontakizun bat eraiki du Lertxundik, hizkera bizkor batean, eta gardentasun hotz bizi batez;masculino;relaciones de poder, novela negra, literatura vasca, perspectiva de gÇnero, narrativa contempor†nea;Local;Narrativa;Novela Negra/Misterio, Social/Pol°tico, Psicol¢gico/÷ntimo
106N;El cuaderno dorado;Lessing, Doris;Punto de Lectura;2007;Adulto;Castellano;789;La obra m†s emblem†tica de Doris Lessing, testimonio clave sobre la condici¢n femenina y magistral cr¢nica de una generaci¢n, El cuaderno dorado relata la profunda crisis vital de Anna Wulf, escritora divorciada y militante comunista. Solo una nueva forma de mirar la realidad puede salvarla, y a tal fin Anna se lanza a escribir varios cuadernos, cada uno dedicado a una parcela de su existencia. Al no conseguir que den una imagen completa de su vida, empieza a escribir el cuaderno dorado, en el que ambiciona plasmar todos los cabos sueltos de su historia. La autora obtuvo el Premio N¢bel de Literatura en 2007.;femenino;realismo psicol¢gico, feminismo, crisis de identidad, literatura brit†nica, posguerra;Europa, Reino Unido - Inglaterra;Narrativa;Psicol¢gico/÷ntimo, Feminismo/LGTBIQ+, Social/Pol°tico
028N;Una pena en observaci¢n;Lewis, C.S.;Anagrama;2004;Adulto;Castellano;103;Este libro reflexiona sobre la desdicha, sobre la pÇrdida del ser amado. El vac°o, la soledad, la impotencia, el recuerdo, el amor, la fe, la esperanza, la b£squeda de un sentido a tanto sufrimiento o los lugares a£n impregnados del ser amado, sensaciones que nos hacen a todos por igual. Encontramos en esta obra un valiente enfrentamiento con lo m†s °ntimo y rec¢ndito de nuestros sentimientos, y nos acercamos a la tragedia que, a veces, gobierna la vida de los seres humanos.;masculino;duelo, ensayo autobiogr†fico, fe, pÇrdida, reflexi¢n filos¢fica;Europa, Reino Unido;No Ficci¢n;Biogr†fico/Memorias, Psicol¢gico/÷ntimo
060C;El £ltimo refugio;Lewis, Patrick;Fondo de Cultura Econ¢mica;2003;Infantil - 8 a§os;Castellano;48;"El objetivo del libro es presentar todas las posibilidades de la imaginaci¢n creadora, tanto del plano literario como del plano estÇtico, en estrecha comunicaci¢n. Una tarde, como cualquier otra, la imaginaci¢n de un artista desaparece. Para recuperarla llega El Èltimo Refugio, un remoto hotel al lado del mar, con huÇspedes muy particulares. Al buscar ""su mirada interior"" en el misterioso lugar, pronto se da cuenta de que no es el £nico que persigue algo. Hermoso libro-†lbum que cuenta con unas ilustraciones de alta calidad art°stica y un texto que contiene y remite a las grandes obras, personajes y autores de la literatura infantil universal. El libro apunta muy alto al hacer referencia a las grandes obras de la literatura de todos los tiempos engarzadas aqu° a travÇs de la historia de un pintor que llega en su camioneta a un apartado albergue a la orilla de un camino y all° deber† alternar con una serie de personajes raros y curiosos para descifrar un enigma. Cada uno de esos huÇspedes tiene un misterio que resolver y una historia que contar. Pero para conocer la historia que preocupa al joven pintor hay que estar muy alerta, sumergirse en las ilustraciones sin las cuales no es posible comprender del todo el misterio del relato y desde luego, tener conocimientos de libros y autores.";masculino;libro-†lbum, literatura infantil, intertextualidad, narrativa ilustrada, misterio;AmÇrica, MÇxico;Infantil;µlbum Ilustrado, Novela Negra/Misterio
347N;Del color de la leche;Leyshon, Nell;Sexto Piso;2013;Adulto;Castellano;174;Mary, una ni§a de quince a§os que vive con su familia en una granja de la Inglaterra rural de 1830, tiene el pelo del color de la leche y naci¢ con un defecto f°sico en una pierna, pero logra escapar moment†neamente de su condena familiar cuando es enviada a trabajar como criada para cuidar a la mujer del vicario. Entonces, tiene la oportunidad de aprender a leer y escribir y de dejar de ver Æs¢lo un mont¢n de rayas negrasØ en los libros. Sin embargo, conforme deja el mundo de las sombras, descubre que las luces pueden resultar incluso m†s cegadoras y a Mary s¢lo le queda el poder de contar su historia para tratar de encontrar sosiego en la palabra escrita.;femenino;ficci¢n hist¢rica, narrativa en primera persona, alfabetizaci¢n, Inglaterra rural, siglo XIX;Europa, Reino Unido - Inglaterra rural;Narrativa;Novela Hist¢rica, Psicol¢gico/÷ntimo
029N;El final del juego;Lienas, Gemma;Planeta;2003;Adulto;Castellano;235;Esta escritora galardonada con el Premio Ramon Llull 2003, nos muestra, en esta interesante obra, la historia de un divorcio vista desde los ojos de Adri†n, un ni§o de seis a§os atrapado en el fuego cruzado de la separaci¢n de sus padres. De una forma espont†nea y deslumbrante la narraci¢n de este ni§o nos llevar† a travÇs de los odios y las venganzas de los adultos. Esta obra te dar† otra visi¢n de un tema tan cotidiano en el mundo presente. No dudes en leerlo.;femenino;divorcio, infancia, narrativa contempor†nea, conflicto familiar, perspectiva infantil;Europa, Espa§a - Barcelona;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico, Novela de Aprendizaje (Bildungsroman)
052N;Quiero ser puta;Lienas, Gemma;Pen°nsula;2006;Adulto;Castellano;141;Gemma Lienas (Barcelona, 1951) formula en esta obra un alegato contra la regularizaci¢n de la prostituci¢n. El libro recoge documentos, datos e informes para concluir que quien defiende regular la prostituci¢n est† promoviendo el mantenimiento de un negocio, el del sexo, que mueve en el mundo mucho dinero al a§o ®A quiÇn beneficia este negocio?: proxenetas, mafias, propietarios de burdeles, empresarios del sexo y, por supuesto, a los clientes. Un an†lisis del tema valiente que te planteara muchas preguntas.;femenino;ensayo social, feminismo, prostituci¢n, pol°ticas p£blicas, derechos de las mujeres;Europa, Espa§a - Barcelona;No Ficci¢n;Feminismo/LGTBIQ+, Social/Pol°tico
189N;Una palabra tuya;Lindo, Elvira;Seix Barral;2005;Adulto;Castellano;251;"Rosario y Milagros son barrenderas y se conocen desde ni§as. Tan vulnerable en apariencia como firme pese a sus contradicciones, Rosario relata los a§os transcurridos junto a esa fuerza de la naturaleza que es Milagros; a§os de tropiezos, ilusi¢n, miedo y realidades que han dado forma al temor de no merecer ser felices. Una palabra tuya es el retrato de dos mujeres, de dos trayectorias vitales, una hacia la nada m†s cruel desde una vida triste y la otra hacia un futuro expectante desde una vida redimida; y en medio, la piedad y el perd¢n.";femenino;narrativa contempor†nea, realismo social, amistad femenina, vida urbana, redenci¢n;Europa, Espa§a - Madrid;Narrativa;Social/Pol°tico, Psicol¢gico/÷ntimo
387N;Memoria de unos ojos pintados;Llach, Lluis;Seix Barral;2012;Adulto;Castellano;399;Cuatro amigos, dos chicos y dos chicas nacidos en 1920, crecen juntos en el barrio obrero de la Barceloneta. Empiezan a descubrir el mundo en un ambiente humilde y libertario, y la proclamaci¢n de la Rep£blica les abre un anch°simo horizonte de posibilidades, ilusiones y esperanzas. Pero la Guerra Civil y la posterior represi¢n franquista lo rompen todo. La vida de los cuatro personajes y de sus familias queda marcada por el impacto de unos hechos hist¢ricos que influyen de una manera especialmente tr†gica en la relaci¢n de amor y de amistad entre los dos chicos, Germinal y David. El mismo Germinal, ya viejo, narra su experiencia estremecedora a un joven director de cine que busca un argumento para una pel°cula. Reconstrucci¢n viv°sima de un periodo que sigue ejerciendo un influjo m†gico en los lectores, Memoria de unos ojos pintados es, por encima de todo, una extraordinaria historia de amor.;masculino;novela hist¢rica, Guerra Civil Espa§ola, Barcelona, memoria, relaciones personales;Europa, Espa§a - Barcelona/Barceloneta;Narrativa;Novela Hist¢rica, Conflictos BÇlicos/Historia, Psicol¢gico/÷ntimo
053N;La lluvia amarilla;Llamazares, Julio;Seix Barral;1999;Adulto;Castellano;159;Esta excelente obra es el mon¢logo del £ltimo habitante de un pueblo abandonado del Pirineo aragonÇs. En el pueblo de Ainielle ya s¢lo quedan AndrÇs y Sabina. Poco a poco el matrimonio se ha visto obligado a ver c¢mo los dem†s habitantes han abandonado gradualmente las duras condiciones de vida. Una noche, sin embargo, AndrÇs descubre a Sabina ahorcada en el molino. Ahora ya no queda nadie que pueda llevar con Çl el peso insoportable del pasado. Con un lÇxico vivo, preciso y genuino nos llevar† a travÇs de la soledad del pueblo abandonado y la del matrimonio formado por los protagonistas. De imprescindible lectura.;masculino;despoblaci¢n rural, mon¢logo interior, soledad, Pirineo aragonÇs, memoria.;Europa, Espa§a - Pirineo aragonÇs;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
214N;El Cetro de Zink (Kadingir);LLongueras, Joan;Roca;2006;Juvenil;Castellano;365;Kadingir es una saga de libros juveniles de fantas°a y aventura escrita por los espa§oles Joan Llongueras y Mercä Masnou. En El Cetro de Zink una ni§a de lo m†s alocada, de gran imaginaci¢n, poco sentido del rid°culo y un humor de lo m†s irreverente, hija de una pareja de artistas bohemios, heredar† un legado muy especial: el trono de reina de los zitis, una de les seis razas del planeta Ki, existente en una dimensi¢n paralela a la Tierra y conectado a ella a travÇs de la tecnolog°a Kadingir, que permite viajar entre los dos planetas. Ishtar, la afortunada nueva reina, descubrir† que su admirada abuela no es tan s¢lo una arque¢loga de gran fama mundial, sino que esconde un mont¢n de secretos que nunca habr°a podido imaginar. Aunque no todo va a ser tan f†cil c¢mo parece, pues el malo m†s malo de todos los malos, Usumgal, Se§or de Zapp, secuestrar† a su abuela, complicando a£n m†s la toma de posesi¢n y, por si eso fuera poco, la peque§a deber† superar tres pruebas para heredar efectivamente el legado.;masculino;literatura juvenil, fantas°a, mundos paralelos, aventura, sucesi¢n real;Europa, Espa§a;Juvenil;Fantas°a, Aventuras
364N;El hombre selv†tico;Lloret, Ignacio;Leer-e;2014;Adulto;Castellano;184;Tenemos entre manos una comedia con ritmo de balada sobre la Navarra actual, la de principios del siglo XXI. Es un musical Çpico que se desarrolla en el contexto de una sociedad industrial y arcaica a la vez, y que cuenta las andanzas de dos hÇroes de nuestro tiempo. El primero, Sebasti†n Falces, es un operario que trabaja a turnos en una f†brica y que se dedica a ir al monte en sus horas libres. En una t¢mbola de verano gana un paquete de libros y la lectura de uno de ellos le cambiar† hasta el punto de que ya no ser† la misma persona desde entonces. El segundo, Andreas Albin, es un antrop¢logo alem†n que estudia los modos de vida de las tribus primitivas, y a quien el destino llevar† a pasar una temporada en Navarra.ˇSiempre bajo la premisa estÇtica de la b£squeda de nuevas formas de expresi¢n en el lenguaje y en la estructura narrativa, esta novela toca asuntos tan esenciales como el amor por la naturaleza, el poder m†gico de los libros, los caminos intelectual e intuitivo hacia el conocimiento o la importancia de cada ser humano.;masculino;novela contempor†nea, Navarra, transformaci¢n personal, comedia, experimentaci¢n narrativa;Local;Narrativa;Social/Pol°tico, Psicol¢gico/÷ntimo, Humor/S†tira
332N;Juguetes sin recoger;Lloret, Ignacio;Gobierno de Navarra;2002;Adulto;Castellano;302;"Esta novela narra la existencia de cinco personajes en la treintena, espa§oles e hispanoamericanos en una ciudad universitaria alemana y amigos de circunstancias. A travÇs de estos personajes desarraigados de su pa°s que viven en un entorno acadÇmico y de residencias estudiantiles, el autor ""da testimonio de la inconsistencia real que palpita turbia y movediza bajo la calma visible, amenazando la aparente normalidad con que conviven, pasean o conversan sus personajes"", en palabras de la escritora Maite PÇrez Larumbe, miembro del Consejo Navarro de Cultura y prologuista de la novela, que a§ade: ""La novela mantiene la tensi¢n y el ritmo en un recorrido de creciente intensidad y acumulaci¢n narrativa, lejos de estridencias, trampas y efectos especiales, apoyada en los di†logos, de un acertado registro cotidiano, en el eficaz modelado de los caracteres y el manejo logrado del tiempo narrativo"". Con esta novela Ignacio Lloret (Barcelona, 1968) obtuvo el Premio a la Creaci¢n Literaria del a§o 2001, que otorga el Departamento de Educaci¢n y Cultura del Gobierno de Navarra.";masculino;novela contempor†nea, desarraigo, vida universitaria, migraci¢n, relaciones interpersonales;Europa, Alemania - Ciudad universitaria;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
372N;Nosotros como esperanza;Lloret, Ignacio;Eunate;2015;Adulto;Castellano;147;Es el relato de una aventura, la que experimenta cada ser humano por el solo hecho de serlo. Su protagonista es un Yo narrador que va atravesando las diferentes edades con una mezcla de entusiasmo y perplejidad. Para convertirse en hÇroe no necesita matar dragones ni resolver cr°menes, le basta enfrentarse con ilusi¢n y valent°a al misterio de vivir.;masculino;Narrativa existencial, Bildungsroman, primera persona, introspecci¢n.;Europa, Espa§a;Narrativa;Novela de Aprendizaje (Bildungsroman), Psicol¢gico/÷ntimo
375N;Tu alma en la orilla;Lloret, Ignacio;Beta III milenio;2012;Adulto;Castellano;153;Es la historia de una relaci¢n de pareja contada a lo largo de siete a§os por medio de una interesante mezcla de gÇneros: diario, reportaje, libro de viajes, relato de ficci¢n. Cada episodio transcurre en una playa distinta, en el contexto de un nuevo viaje, y recoge un aspecto diferente de esa relaci¢n: la atracci¢n f°sica, los celos, los enfados, las reconciliaciones, el paso del tiempo vivido en com£n. En cada cap°tulo hay una remisi¢n a otros libros, a otras voces, a otras experiencias, a las palabras de otros que pasaron por los mismos lugares, que recorrieron un camino parecido.;masculino;narrativa experimental, relaciones de pareja, estructura fragmentaria, intertextualidad, viajes.;Europa;Narrativa;Social/Pol°tico, Psicol¢gico/÷ntimo, Viajes/Naturaleza
289N;Los cuadernos de Kufra;Logro§o, Txema;Sekotia;2013;Adulto;Castellano;477;A§o 2000. Marie de Arleta y su hija Anette reciben de su t°a Rosa un sobre con cuatro cuadernos, donde est†n plasmados todos los hechos relevantes de la vida de Miguel, padre y abuelo de ambas mujeres. Ambas descubren, as°, un relato que comienza en Zaragoza en 1928. Son a§os de universidad y de convulsiones pol°ticas en la facultad de derecho, y que concluir† con la muerte del protagonista, ya anciano, en 1991. Primera novela de este historiador vasco, centrado en temas relacionados con la historia actual de Espa§a y del Pa°s Vasco, en donde nos nuestra unos hechos todav°a muy recientes, que tantas veces intentan que olvidemos. Con un estilo sencillo Los cuadernos de Kufra te atrapar†n f†cilmente.;masculino;novela hist¢rica, Espa§a siglo XX, memoria familiar, Zaragoza, transici¢n pol°tica;Europa, Espa§a - Zaragoza;Narrativa;Novela Hist¢rica, Biogr†fico/Memorias, Social/Pol°tico
128C;Hamar;Longo, Andrej;Pasazaite;2012;Adulto;Euskera;117;Adelphi argitaletxeak Dieci argitaratzea erabaki zuenerako, hamaika argitaletxek bota zuten atzera liburu hau. 2008. urtean, berriz, Bagutta, Vittorini, Chiara sariak irabazi zuen eta Bancarella sarian finalista izan zen. Dieci liburu honetan, Bibliako Hamar Aginduetan bezala, hamar istorio kontatzen zaizkigu, gaur egungo Napolin girotuak, Napoliko arrabaletako testuinguru itxi, irteerarik gabekoetan gertatzen diren eta hiri horretako ikuspegirik gogorren eta bortitzena erakusten diguten muga-mugako hamar egoera. Gizakiaren elkarbizitzako legeak iseka eta trufa gaiztoa baizik ez direla diruditen kaletxo ilun eta itxaropen zapuztuzko mikrokosmo horretan, gizonak berak sortzen duen miserian galduta eta zanpatuta geratzen da gizakia.;masculino;narrativa breve, realismo social, N†poles, exclusi¢n social, relatos urbanos;Europa, Italia - N†poles;Narrativa;Social/Pol°tico, Relatos/Cuentos
330N;Yo, precario;L¢pez Menacho, Javier;Los libros del lince;2013;Adulto;Castellano;170;En una serie de cr¢nicas cargadas de humor y acidez, de ternura y desesperaci¢n, Javier L¢pez Menacho cuenta en Yo, precario c¢mo es su vida laboral (por as° decir), y de paso nos permita imaginar c¢mo es la de esos casi dos millones de j¢venes y no tan j¢venes menores de treinta a§os que en Espa§a viven el calvario existencial que supone ir saltando de empleo precario en empleo precario, sin futuro ni presente. Por vez primera, un testimonio de uno de los dos millones de j¢venes precarios espa§oles, cargado de humor y de emoci¢n, de amargura e iron°a. Una peque§a joya literaria y vital.;masculino;precariedad laboral, cr¢nica social, juventud espa§ola, siglo XXI, testimonio;Europa, Espa§a;No Ficci¢n;Social/Pol°tico, Biogr†fico/Memorias, Humor/S†tira
061C;Siete veces gato;Luciani, DomÇnica;Salamandra;2005;Infantil - 12 a§os;Castellano;157;Domenica Luciani es una escritora italiana de literatura infantil y juvenil. Esta novela nace de su pasi¢n por los gatos negros que busca por todos los rincones del mundo a donde va. Bigote de Luna es un hermoso gato negro con un bigote blanco. Testigo de importantes acontecimientos durante dos mil a§os de historia, se ha pasado sus siete vidas intentando comprender por quÇ los humanos, esos curiosos seres que caminan sobre dos patas, se comportan de manera tan rara. En su primera vida, en el Egipto de los faraones, lo adoran, como le corresponde por su condici¢n de animal sagrado. Pero en sus vidas posteriores, las cosas se le ponen dif°ciles. Tolerado en la tierra de los etruscos, perseguido como si fuera un demonio en la Edad Media, o de nuevo mimado en la Rusia de los zares, el simp†tico y travieso Bigote de Luna las pasa de todos los colores, aunque siempre junto a su eterno acompa§ante, el hombre. Esta divertida novela conducir† a los j¢venes lectores a lo largo de siete importantes periodos de la Historia Universal, vistos a travÇs de la mirada sabia y desenfadada de un gato muy especial.;femenino;novela hist¢rica infantil, gatos, historia universal, narrativa animal, literatura juvenil;"µfrica, Egipto; Europa, Italia - Etruria; Europa, Europa medieval; Europa, Rusia";Infantil;Novela Hist¢rica, Aventuras, Animales
030N;La roca de Tanios;Maalouf, Amin;Alianza;2003;Adulto;Castellano;327;Tanios es el hijo del intendente del emir. Lamia, su madre, es la mujer m†s bella de Kfardabya, lo que unido a la fama donjuanesca de su padre, famoso en toda la regi¢n, hace que los rumores sobre la verdadera paternidad de Tanios sean excesivamente frecuentes. Esto marca el car†cter del muchacho, que con una inteligencia inquieta le hace simpatizar con los misioneros ingleses reciÇn llegados a la regi¢n y con los antiguos y nuevos enemigos del emir. Enamorado inoportunamente de la hija del antiguo intendente del emir se ve envuelto en una serie de intrigas y maquinaciones que terminar†n, como en todo buen drama amoroso, en una inevitable tragedia. Este escritor libanÇs (Beirut, 1949) recibi¢ el Premio Goncourt en 1993 con este interesante libro.;masculino;novela hist¢rica, L°bano siglo XIX, identidad, intriga pol°tica, Premio Goncourt;Asia, L°bano - Kfardabya (aldea ficticia);Narrativa;Novela Hist¢rica, Social/Pol°tico
151N;El Danubio;Magris, Claudio;Anagrama;2004;Adulto;Castellano;370;"El Danubio ha sido calificado como ""un maravilloso viaje en el tiempo y el espacio"" que inaugura un nuevo gÇnero a caballo entre la novela y el ensayo, el diario y la autobiograf°a. Se trata de una novela fluvial que describe los sucesivos tramos del r°o, desde su nacimiento hasta sus cinco desembocaduras, recorriendo ocho regiones: Alemania, Wachau, Viena, Eslovaquia, Hungr°a, Banato y Transilvania, Bulgaria y Rumania. Un viaje que reconstruye la civilizaci¢n de la Europa Central, con su gran variedad de pueblos y de culturas, desde las grandes construcciones hasta las m°nimas y ef°meras huellas de la vida cotidiana: la presencia alemana, el peso de las minor°as Çtnicas, la huella dejada por los turcos o la vigente presencia hebraica.";masculino;ensayo narrativo, literatura de viajes, Europa Central, identidad cultural, minor°as Çtnicas;Europa, Alemania - Danubio / Austria - Danubio / Eslovaquia - Danubio / Hungr°a - Danubio / Rumania - Danubio / Bulgaria - Danubio;No Ficci¢n;Viajes/Naturaleza, Social/Pol°tico, Biogr†fico/Memorias
171N;Tras la celos°a;Mahfuz, Naguib;Mart°nez Roca;2006;Adulto;Castellano;375;Huyendo de la guerra mundial una familia se instala en un viejo barrio de la gran ciudad. Ahmand, el hijo mayor, taciturno y mis¢gino, se encapricha de Nawal, una muchacha veinte a§os m†s joven que Çl, pero no se aventura a pedirle matrimonio. Sin embargo, el hijo menor ser† m†s atrevido con ella y Ahmad asistir† impotente al idilio, alimentando en silencio un sentimiento de odio amargo hacia su hermano. Con una narrativa elegante y din†mica el autor nos introduce en las costumbres, sentimientos y formas de vivir del mundo †rabe en donde las mujeres solo pod°an ver el mundo a travÇs de las celos°as de sus casas. Uno de los £ltimos libros de este excelente autor Premio Nobel de Literatura en el a§o 1988.;masculino;literatura †rabe, realismo social, conflicto familiar, Segunda Guerra Mundial, patriarcado;µfrica, Egipto - El Cairo;Narrativa;Social/Pol°tico, Conflictos BÇlicos/Historia
023C;El callej¢n de los milagros;Mahfuz, Naguib;Mart°nez Roca;2002;Adulto;Castellano;222;En El callej¢n de los milagros (1947), la pluma del escritor de origen egipcio Naguib Mahfuz, Premio Nobel 1988, nos pone en contacto con un segmento social de la ciudad del Cairo, concretamente con el callej¢n (barrio) de Midak, y con un cafÇ ubicado en el mismo sitio que sirve de punto de encuentro para los hombres de aquel apartado sector de la ciudad. La manera de presentar a los personajes asiduos al cafÇ y la misma impresi¢n de vida que reina en el interior del CafÇ de Kirsha, recuerda a la novela La colmena (1951), del espa§ol Camilo JosÇ Cela, tambiÇn Premio Nobel de Literatura en 1989. Ambas obras tienen como escenario un cafÇ, del cual surge la galer°a de personajes que protagoniza Çsta. Mahfuz avanza hasta mostrar el desarrollo y desenlace completo de sus vidas, sus nexos y contradicciones que los inducen a tomar Çste o aquel camino. Tal es el caso de la hermosa Hamida, del comerciante avaro (Salim Alwan), del codicioso dentista (Bushi), del peluquero (Abbas), del due§o del cafÇ (Kirsha), del horroroso Zaita, entre otros, a quienes muestra en sus dimensiones m†s escabrosas, pero sin juzgar, sin cuestionar, sin imponer nada al lector, dej†ndolo libre para observar el mundo narrado, para que saque sus propias conclusiones.;masculino;realismo social, Egipto, vida urbana, novela coral, siglo XX;µfrica, Egipto - El Cairo;Narrativa;Social/Pol°tico
